epoch,lr,train_loss,val_loss,val_macro_f1,val_qwk
1.0,0.0002,0.8294916018192187,0.5159344496154888,0.719667551621361,0.8746413988064077
2.0,0.00019660961971576228,0.659667208424653,0.5432745929520242,0.7022946676816393,0.8618788723080175
3.0,0.00018666952767655166,0.6040579865844842,0.7846970749729749,0.6062420062454926,0.7792044846043372
4.0,0.00017085712472806146,0.5363780974461719,0.6190141896342092,0.6971975411466328,0.8299836902375805
5.0,0.00015025,0.4659501531157393,0.5227550053635327,0.7490995851023321,0.8665262439028264
6.0,0.00012625249498770082,0.40106045513269134,0.7008902051290912,0.6858985354953991,0.8255889386628588
7.0,0.0001005,0.30468345080153286,0.5207053663190879,0.7466139007879256,0.8675383844699671
8.0,7.47475050122992e-05,0.2072912446723937,0.6620815182094595,0.7108119514824529,0.8588657596930692
9.0,5.075000000000002e-05,0.14023963217762656,0.7482351328728641,0.7036123626520995,0.8589624638555845
10.0,3.0142875271938532e-05,0.09237270081008178,0.7512445905762568,0.7306760276646702,0.8667336866309072
11.0,1.4330472323448351e-05,0.06643278302433808,0.8435722330461755,0.7201653064927958,0.8626137582847488
12.0,4.390380284237715e-06,0.05309533394189019,0.8518421231535436,0.7255369507184136,0.8608521108521109
