epoch,lr,train_loss,val_loss,val_macro_f1,val_qwk
1.0,0.0002,0.47348748592167583,0.3418300890573073,0.6207721508825017,0.8405320471414752
2.0,0.00019660961971576228,0.3391849151778653,0.31822726971810594,0.6699252689381946,0.8636781846019403
3.0,0.00018666952767655166,0.29455677798489055,0.2762504259162824,0.7271572352721822,0.8772119958787437
4.0,0.00017085712472806146,0.2703081483535115,0.3561790398323057,0.6118567849036942,0.8241100070478432
5.0,0.00015025,0.24797257572010267,0.3089362984436213,0.7120528196617645,0.8817561777481281
6.0,0.00012625249498770082,0.21090434373889583,0.24878430940882262,0.6870218801126063,0.8642976909511234
7.0,0.0001005,0.169638013634141,0.3217557483270813,0.738727051914277,0.8826837812017735
8.0,7.47475050122992e-05,0.13926461335043414,0.2836167703945914,0.7195739157167321,0.8868250132232494
9.0,5.075000000000002e-05,0.11004625380637394,0.37642237906476705,0.7353580491991244,0.8803835047469633
10.0,3.0142875271938532e-05,0.08312889053938037,0.3996745085224396,0.7570886595495885,0.8846685122787143
11.0,1.4330472323448351e-05,0.07255008092244847,0.3657247717295097,0.7291097218377209,0.8782822924212256
12.0,4.390380284237715e-06,0.0631653487446853,0.35458696571286935,0.7427996637674057,0.8846772328161286
