split,img_id,image_path,exists
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,True
