epoch,train_loss,val_loss,val_macro_f1
1.0,0.848623019729825,0.606274550984918,0.6466294281340284
2.0,0.694504437218049,0.6531461847462691,0.6661905968862615
3.0,0.634731611952208,0.6285500027457743,0.6627837240622452
4.0,0.5964530139614903,0.5097716596790556,0.7221808500928484
5.0,0.5673152006185375,0.5240754018518488,0.7241538952838333
6.0,0.5104305757612956,0.5524963922596392,0.6996911905783908
7.0,0.47748491510083646,0.521680346173391,0.7438164803704956
8.0,0.43255118833705897,0.6641636046213901,0.6925775234671058
9.0,0.379546103807576,0.6053714218926611,0.6896502797947586
10.0,0.3382507618742289,0.6144390115261595,0.6783741795245217
11.0,0.3195070523280065,0.7630546815232268,0.7031453466330189
12.0,0.2708140564172487,0.7922538470691242,0.6983253504349796
13.0,0.23041888585960676,0.9265302270489071,0.6742780447335408
14.0,0.23737803031752192,0.7602072960649587,0.7072121685051166
15.0,0.19550135408693917,0.9253575206450091,0.6700142554364382
