lane,metric,mean,ci95_low,ci95_high
supervised_pass5,accuracy,0.7376433372874655,0.7336892052194544,0.744958481613286
supervised_pass5,balanced_accuracy,0.6709070438059332,0.6539234997709573,0.6917027441673117
supervised_pass5,macro_f1,0.6673301273216797,0.6571154395081886,0.6792708334380978
supervised_pass5,qwk,0.8186494575446218,0.8079202812608561,0.830582013405805
generative_mode1_pass6,accuracy,0.7819296164491893,0.7793594306049823,0.7852906287069988
generative_mode1_pass6,balanced_accuracy,0.736291880352006,0.7292170724932999,0.7407588352525524
generative_mode1_pass6,macro_f1,0.7279199995261996,0.7201470808012674,0.7333829338672669
generative_mode1_pass6,qwk,0.8636564897888555,0.8623815130141116,0.8658360282004898
generative_mode2_pass6,accuracy,0.5486358244365361,0.5486358244365361,0.5486358244365361
generative_mode2_pass6,balanced_accuracy,0.25,0.25,0.25
generative_mode2_pass6,macro_f1,0.1771351972424358,0.1771351972424358,0.1771351972424358
generative_mode2_pass6,qwk,0.0,0.0,0.0
