lane,metric,internal_value,external_value,delta_external_minus_internal
resnet50_supervised,accuracy,0.7633451957295374,0.4336075205640423,-0.3297376751654951
resnet50_supervised,macro_f1,0.6694020252436621,0.3874229862099845,-0.2819790390336776
resnet50_supervised,balanced_accuracy,0.6602051214715592,0.4328542295228517,-0.2273508919487075
resnet50_supervised,weighted_f1,0.7614248757212174,0.42935144689256,-0.3320734288286574
resnet50_supervised,qwk,0.8287620300398653,0.35959664371448996,-0.4691653863253753
resnet50_supervised,mae,0.24673784104389088,0.6533490011750881,0.40661116013119725
resnet50_supervised,rmse,0.5189184847657231,0.9198170767925039,0.4008985920267808
vlm_lora_mode1,accuracy,0.7811387900355872,0.041128084606345476,-0.7400107054292417
vlm_lora_mode1,macro_f1,0.7201470808012675,0.019751693002257337,-0.7003953877990102
vlm_lora_mode1,balanced_accuracy,0.7292170724932998,0.25,-0.4792170724932998
vlm_lora_mode1,qwk,0.8627519281519653,0.0,-0.8627519281519653
vlm_lora_mode1,mae,0.2224199288256227,1.8249118683901293,1.6024919395645065
vlm_lora_mode1,rmse,0.4791005808262423,1.9671210479762815,1.4880204671500392
vlm_lora_mode1,parse_rate,1.0,0.0,-1.0
vlm_lora_mode2,accuracy,0.5486358244365361,0.041128084606345476,-0.5075077398301907
vlm_lora_mode2,macro_f1,0.1771351972424358,0.019751693002257337,-0.15738350424017844
vlm_lora_mode2,balanced_accuracy,0.25,0.25,0.0
vlm_lora_mode2,qwk,0.0,0.0,0.0
vlm_lora_mode2,mae,0.6986951364175563,1.8249118683901293,1.126216731972573
vlm_lora_mode2,rmse,1.1557273954415634,1.9671210479762815,0.8113936525347181
vlm_lora_mode2,parse_rate,1.0,1.0,0.0
