epoch,train_loss,val_loss,val_macro_f1
1,0.8613997675071938,0.5584902061831032,0.6721922824814407
2,0.7102968908536117,0.5637858358578884,0.684688877830417
3,0.6389297340510006,0.7749189375925012,0.6699674382174851
4,0.5851802304687901,0.514705668443189,0.7285522619144105
5,0.5555633614839932,0.5412220096096283,0.6999223957643801
6,0.5130255778660369,0.6349100261505989,0.7261986760090748
7,0.46906134063692323,0.5860651468091627,0.7077141770212778
8,0.4365359275711492,0.5983672284083309,0.7045604408465161
9,0.3760208318095703,0.8064743478850226,0.6513785532623753
10,0.345340814936916,0.6595651241389471,0.7217960439332124
11,0.2772101533634328,0.8713405574312946,0.6360647214230473
12,0.30052998776473805,0.6625213907479464,0.7029867188731573
13,0.23789154505534407,0.6688770597778366,0.6836368539730018
14,0.1966738359784981,0.7539506063399175,0.6930487968532785
15,0.2039652987257504,0.7135098683329281,0.7009936216378365
