split,img_id,image_path,label_id,label_name,orig_height,orig_width
train,train_000000,out/images/train/train_000000.jpg,0,barretts,1013,1221
train,train_000001,out/images/train/train_000001.jpg,0,barretts,524,613
train,train_000002,out/images/train/train_000002.jpg,0,barretts,1020,1221
train,train_000003,out/images/train/train_000003.jpg,0,barretts,1012,1221
train,train_000004,out/images/train/train_000004.jpg,0,barretts,1071,1349
train,train_000005,out/images/train/train_000005.jpg,0,barretts,1012,1221
train,train_000006,out/images/train/train_000006.jpg,0,barretts,1071,1349
train,train_000007,out/images/train/train_000007.jpg,0,barretts,1071,1349
train,train_000008,out/images/train/train_000008.jpg,0,barretts,1021,1221
train,train_000009,out/images/train/train_000009.jpg,0,barretts,524,613
train,train_000010,out/images/train/train_000010.jpg,0,barretts,524,613
train,train_000011,out/images/train/train_000011.jpg,0,barretts,1012,1221
train,train_000012,out/images/train/train_000012.jpg,0,barretts,1012,1221
train,train_000013,out/images/train/train_000013.jpg,0,barretts,1011,1221
train,train_000014,out/images/train/train_000014.jpg,0,barretts,1020,1221
train,train_000015,out/images/train/train_000015.jpg,0,barretts,1013,1225
train,train_000016,out/images/train/train_000016.jpg,0,barretts,524,613
train,train_000017,out/images/train/train_000017.jpg,0,barretts,1012,1221
train,train_000018,out/images/train/train_000018.jpg,0,barretts,1071,1349
train,train_000019,out/images/train/train_000019.jpg,0,barretts,524,613
train,train_000020,out/images/train/train_000020.jpg,0,barretts,1012,1221
train,train_000021,out/images/train/train_000021.jpg,0,barretts,1012,1221
train,train_000022,out/images/train/train_000022.jpg,0,barretts,1071,1349
train,train_000023,out/images/train/train_000023.jpg,0,barretts,1015,1225
train,train_000024,out/images/train/train_000024.jpg,0,barretts,1015,1225
train,train_000025,out/images/train/train_000025.jpg,0,barretts,1014,1225
train,train_000026,out/images/train/train_000026.jpg,0,barretts,1013,1221
train,train_000027,out/images/train/train_000027.jpg,0,barretts,1013,1225
train,train_000028,out/images/train/train_000028.jpg,0,barretts,524,613
train,train_000029,out/images/train/train_000029.jpg,0,barretts,1012,1221
train,train_000030,out/images/train/train_000030.jpg,0,barretts,1016,1225
train,train_000031,out/images/train/train_000031.jpg,0,barretts,1013,1221
train,train_000032,out/images/train/train_000032.jpg,0,barretts,1013,1221
train,train_000033,out/images/train/train_000033.jpg,1,barretts-short-segment,1015,1225
train,train_000034,out/images/train/train_000034.jpg,1,barretts-short-segment,1012,1221
train,train_000035,out/images/train/train_000035.jpg,1,barretts-short-segment,1071,1349
train,train_000036,out/images/train/train_000036.jpg,1,barretts-short-segment,1012,1221
train,train_000037,out/images/train/train_000037.jpg,1,barretts-short-segment,1013,1221
train,train_000038,out/images/train/train_000038.jpg,1,barretts-short-segment,1013,1221
train,train_000039,out/images/train/train_000039.jpg,1,barretts-short-segment,1013,1225
train,train_000040,out/images/train/train_000040.jpg,1,barretts-short-segment,524,613
train,train_000041,out/images/train/train_000041.jpg,1,barretts-short-segment,1013,1221
train,train_000042,out/images/train/train_000042.jpg,1,barretts-short-segment,1013,1225
train,train_000043,out/images/train/train_000043.jpg,1,barretts-short-segment,1012,1221
train,train_000044,out/images/train/train_000044.jpg,1,barretts-short-segment,524,613
train,train_000045,out/images/train/train_000045.jpg,1,barretts-short-segment,1020,1221
train,train_000046,out/images/train/train_000046.jpg,1,barretts-short-segment,1003,1216
train,train_000047,out/images/train/train_000047.jpg,1,barretts-short-segment,1013,1225
train,train_000048,out/images/train/train_000048.jpg,1,barretts-short-segment,1071,1349
train,train_000049,out/images/train/train_000049.jpg,1,barretts-short-segment,1013,1225
train,train_000050,out/images/train/train_000050.jpg,1,barretts-short-segment,1012,1221
train,train_000051,out/images/train/train_000051.jpg,1,barretts-short-segment,1020,1221
train,train_000052,out/images/train/train_000052.jpg,1,barretts-short-segment,524,613
train,train_000053,out/images/train/train_000053.jpg,1,barretts-short-segment,1013,1225
train,train_000054,out/images/train/train_000054.jpg,1,barretts-short-segment,1020,1221
train,train_000055,out/images/train/train_000055.jpg,1,barretts-short-segment,1015,1225
train,train_000056,out/images/train/train_000056.jpg,1,barretts-short-segment,1020,1221
train,train_000057,out/images/train/train_000057.jpg,1,barretts-short-segment,1071,1349
train,train_000058,out/images/train/train_000058.jpg,1,barretts-short-segment,524,614
train,train_000059,out/images/train/train_000059.jpg,1,barretts-short-segment,1013,1221
train,train_000060,out/images/train/train_000060.jpg,1,barretts-short-segment,1013,1225
train,train_000061,out/images/train/train_000061.jpg,1,barretts-short-segment,524,613
train,train_000062,out/images/train/train_000062.jpg,1,barretts-short-segment,1012,1221
train,train_000063,out/images/train/train_000063.jpg,1,barretts-short-segment,1071,1349
train,train_000064,out/images/train/train_000064.jpg,1,barretts-short-segment,1011,1221
train,train_000065,out/images/train/train_000065.jpg,1,barretts-short-segment,1071,1349
train,train_000066,out/images/train/train_000066.jpg,1,barretts-short-segment,1014,1225
train,train_000067,out/images/train/train_000067.jpg,1,barretts-short-segment,1071,1349
train,train_000068,out/images/train/train_000068.jpg,1,barretts-short-segment,1012,1221
train,train_000069,out/images/train/train_000069.jpg,1,barretts-short-segment,1012,1221
train,train_000070,out/images/train/train_000070.jpg,1,barretts-short-segment,1020,1221
train,train_000071,out/images/train/train_000071.jpg,1,barretts-short-segment,1013,1221
