epoch,train_loss,val_loss,val_macro_f1
1,0.9507778213021114,0.8179400365852249,0.5026779767027099
2,0.768040263071125,0.7005122405892474,0.5978683602922916
3,0.6904607325197573,0.6313042931266768,0.6820897382896886
4,0.6530396129271194,0.6612080956903265,0.5948942226090235
5,0.6173990893898875,0.6234405936428571,0.6383051841657297
6,0.611157650655495,0.6223916546659024,0.6427634171323717
7,0.5883601272253308,0.5856832647038852,0.6704338544875057
8,0.5743538411874537,0.6506363060264712,0.6251824484560851
9,0.5630404587943794,0.6783565889870046,0.6430133366258213
10,0.5636225045242996,0.6636866716168472,0.6093663902648179
