asset_id,asset_type,chapter_section,status,claim_role,exists,path,key_excerpt,notes
T4_01,table,4.5 Results (Primary),ready,headline,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass5_supervised_metric_summary.csv,Pass5 supervised mean QWK=0.818649,Official supervised baseline (multi-seed).
T4_02,table,4.5 Results (Primary),ready,headline,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass6_generative_metric_summary.csv,Pass6 mode1 mean QWK=0.863656; mode2 QWK=0.0,Official generative primary + controlled ablation.
T4_03,table,4.5 Results (Stability),ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass6_generative_mode1_qc.csv,"QC pass: 3/3 (seeds 011,023,077)",Documents non-degenerate converged seed set.
T4_04,table,4.5 External Stress-Test,ready,headline,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass7_external_hyperkvasir_uc_proxy_floor_20260306_r1/pass7_external_drop_table.csv,ResNet ΔQWK=-0.469; VLM mode1 ΔQWK=-0.863,Domain-shift limitation evidence.
T4_05,table,4.5 External Stress-Test,ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass7_external_hyperkvasir_uc_proxy_floor_20260306_r1/pass7_external_validation_report.json,VLM mode1 external parse_rate=0.0,Use with drop table for exact internal/external values.
T4_A1,table,Appendix (Exploratory),ready,appendix_only,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass8_internal_fusion_20260306T085817Z/pass8_internal_fusion_candidates.csv,Best test QWK in sweep=0.866368 (baseline_vlm_vote3),Exploratory only; not for headline claims.
T4_A2,table,Appendix (Exploratory),ready,appendix_only,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass8_supervised_5090_scout_r2_20260306T091539Z/pass8_supervised_all_runs.csv,Best scout run QWK=0.870416 (swin_t_ce_m_e8_seed011),Exploratory 5090 supervised scout.
T4_A3,table,Appendix (Exploratory),ready,appendix_only,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass8_supervised_5090_focus_20260306T092204Z/pass8_supervised_all_runs.csv,Best focus run QWK=0.861687 (swin_t_ce_s_e16_seed011),Exploratory 5090 supervised confirm.
F4_01,figure,4.5 Results (Primary),ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/figures/pass5_supervised_metric_ci.png,Pass5 metric means + 95% CI,Official multi-seed supervised uncertainty plot.
F4_02,figure,4.5 Results (Primary),ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/figures/pass6_generative_metric_ci.png,Mode1 vs mode2 means + 95% CI,Official multi-seed generative comparison.
F4_03,figure,4.5 Failure/Diagnostics,ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass5_supervised_confusion_aggregate.png,Aggregate confusion across supervised seeds,Use to discuss class-boundary confusion.
F4_04,figure,4.5 Failure/Diagnostics,ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass6_generative_confusion_aggregate_mode1.png,Aggregate confusion (mode1),Primary generative lane confusion.
F4_05,figure,4.5 Ablation,ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/pass6_generative_confusion_aggregate_mode2.png,Aggregate confusion (mode2),Controlled scoring ablation failure visual.
F4_06,figure,4.5 Failure/Diagnostics,ready,supporting,yes,Prototyping_reformat/DatasetAnalysis/LIMUC/4_reporting/out/generative_pred_distribution.png,Generative predicted-class distribution,Distribution-level sanity check.
F4_L1,figure,Legacy thesis figure pack,legacy,do_not_use_for_new_headline,yes,Thesis/markdown/figures/generated/F02_ch4_core_metric_comparison.png,Built from pre-Pass5/6 run set,Regenerate if aligning figures to Pass5/6 freeze.
F4_L2,figure,Legacy thesis figure pack,legacy,do_not_use_for_new_headline,yes,Thesis/markdown/figures/generated/F03_ch4_radar_profile.png,Built from pre-Pass5/6 run set,Regenerate if aligning figures to Pass5/6 freeze.
F4_L3,figure,Legacy thesis figure pack,legacy,do_not_use_for_new_headline,yes,Thesis/markdown/figures/generated/F04_ch4_remission_slice_comparison.png,Built from pre-Pass5/6 run set,Regenerate if aligning figures to Pass5/6 freeze.
F4_L4,figure,Legacy thesis figure pack,legacy,do_not_use_for_new_headline,yes,Thesis/markdown/figures/generated/F05_ch4_mcnemar_significance_heatmap.png,Built from pre-Pass5/6 run set,Regenerate if aligning figures to Pass5/6 freeze.
F4_L5,figure,Legacy thesis figure pack,legacy,do_not_use_for_new_headline,yes,Thesis/markdown/figures/generated/F06_ch4_confusion_panel.png,Built from pre-Pass5/6 run set,Regenerate if aligning figures to Pass5/6 freeze.
